"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-11160000,3500000,-2800000,-4410000,10000,-8410000,-820000,-13200000,-8e+06,7e+05,-4e+05,-5620000,-4100000,1250000,-1200000,1550000,0,-3870000,12910000,-950000,920000,1270000,4700000,-1400000,-6600000,1500000,3730000,9800000,-1100000,1260000
-4175000,1120000,-1970000,-1360000,140000,-2530000,-402000,-4150000,-2540000,0,-550000,-1300000,-1430000,620000,-280000,465000,250000,-1010000,4450000,-170000,550000,602000,1620000,260000,-2100000,660000,780000,3750000,-570000,310000
-1374000,46660000,-12610000,-1710000,1110000,12547000,-1300000,-2510000,5070000,1080000,280000,-240000,2390000,3050000,-1620000,934000,-44800000,-623000,3540000,-7870000,-7800000,14300000,2330000,-4710000,810000,890000,1740000,4420000,-660000,760000
-609100,-546500,83000,-3640,-669400,-194200,-90,229000,189000,178000,894000,-349400,-1024000,-242000,-74900,13800,166500,-88350,508340,369400,863200,13990,-163000,-650000,-242600,4040000,319400,566000,-321000,9600
-980000,-1260000,160000,10000,0,-120000,10000,-160000,50000,-30000,-290000,10000,-90000,-230000,130000,-310000,820000,-140000,130000,-180000,-120000,0,0,-280000,-90000,270000,2e+05,160000,260000,750000
-283000,-289000,406500,-950,4500,-414900,-31500,-6000,-456000,358000,-148100,-284000,171000,25560,-73680,63000,376000,-327900,99720,-8300,-34600,-24500,1358000,841000,-737000,-40360,1575000,58000,8200,530
-717000,-738200,-2234000,-59000,415700,1388800,7080,-26900,1874000,936900,39000,-968800,121500,-7360,-40020,234000,80800,0,211000,-267000,-1236000,0,59900,-490000,-438000,290000,1518800,147000,31260,27520
-2770,63550,288300,2380,48700,-532400,-360,-199490,-2300,6530,340,-3360,1130,-2810,4330,4410,-40700,-295500,6510,-56090,-200,12840,5090,38510,21400,1620,3680,27560,32100,500
-7390000,1540000,-11660000,-1150000,330000,-4270000,-410000,-5710000,-1350000,-870000,1230000,-2540000,-10000,670000,-6e+05,1520000,-1910000,-2840000,5320000,-70000,870000,-150000,3670000,2650000,1100000,220000,3490000,6380000,320000,1220000
-4778000,-1140000,950000,-60000,1450000,710000,-432000,-7128000,-3300000,4880000,-1790000,-930000,-2950000,-163000,341000,588000,1330000,-1100000,2880000,-1200000,-1110000,842000,908000,6590000,30000,2330000,-490000,7570000,873000,316000
-824500,-357000,-6000,-16660,268900,-310900,-5140,-6210,-168800,119000,-439300,-110000,188000,152900,-53700,41500,-24000,-138800,14760,-295300,-1500,-4250,219310,-6300,-52000,209300,536000,-413000,-125300,61200
-3430000,-1470000,-2870000,-1117000,60000,-1750000,450000,-2800000,-6010000,4890000,-740000,-661000,160000,-3030000,-288000,1320000,-2990000,-1730000,2297000,880000,440000,290000,330000,310000,5290000,-50000,2221000,1010000,750000,-131000
167000,842500,374000,-5400,1526600,-1945000,73600,39900,-444000,89800,-3800,-233520,-84600,-21300,-260930,-264700,-762000,-627600,71600,-1514300,71000,66300,-30500,129000,563000,104500,1451520,1139800,56900,30730
-1668000,-590000,-306000,109000,-47000,-579000,-178000,-1270000,-2530000,860000,-410000,-1470000,290000,39900,85000,78000,1380000,-715000,2170000,-11000,1352000,244000,-180000,40000,-4e+05,-1e+05,1790000,1270000,75800,397000
-2170,-116000,-11280,0,4630,7090,1880,-4220,868370,32200,6380,140,29290,16500,680,-490,0,-4620,2420,1180,4370,6480,7120,-492000,-30250,2210,870,-28570,-18800,54240
-627000,243000,54000,70000,850000,-810000,-246000,-350000,-6e+05,578000,-216000,-490000,170000,302000,228400,64000,-339000,-746800,526000,-770000,811000,352000,-611000,-320000,620000,119000,721000,140000,-53000,393000
-701000,-310000,133000,35000,428000,-2109000,85700,-746000,-852000,121000,-226000,2800,-602000,-27000,-740000,506000,8100000,318000,933000,747000,1179000,181000,844000,-394000,2913000,301000,579400,1003000,72000,378000
-463000,-54500,-2374000,56000,-39500,34000,54000,30800,34000,204000,-12500,158000,93800,171000,26000,65000,25900,-366500,22000,96500,5461000,1000,314000,-51400,-121000,56500,-217700,-28400,-64000,236000
-2447000,2050000,-950000,-1320000,7e+05,-380000,63000,-1820000,-3e+05,5e+05,-1030000,-726000,-1240000,417000,-14000,707000,-2030000,270000,2040000,-1194000,580000,219000,-90000,-950000,3e+05,650000,816000,1720000,-30000,-119000
-12120000,-1910000,-11700000,-2450000,1570000,-1e+06,5900000,-7620000,4400000,1.3e+07,630000,2507000,2110000,3810000,1120000,-40000,520000,-22640000,5980000,-7640000,-6700000,3700000,18220000,26600000,-31620000,-1170000,-1290000,-8280000,-5512000,-2840000
-24150000,3800000,-4500000,-7400000,-3200000,1600000,-3400000,-17700000,-3400000,3500000,3100000,-12900000,8600000,2e+06,-2100000,8150000,-8e+05,-12400000,14600000,9700000,1900000,1900000,3300000,7600000,-1500000,1900000,4800000,7300000,-3100000,2600000
1140000,-410000,850000,230000,-6e+05,-70000,770000,10000,-1088000,-440000,360000,520000,520000,-280000,110000,-350000,-1570000,-240000,-570000,80000,960000,-540000,-160000,1088000,1730000,-3e+05,-890000,-640000,260000,430000
-1603100,895500,-7163000,-1677900,206820,370000,-708500,-393700,-143000,174700,6100,-780,-105000,10530,-29800,161100,-166000,523000,860900,-47000,1380000,187500,2019700,1297000,2791000,74900,604310,766000,291200,341200
-997000,-251000,-805700,-1076700,-598000,-195500,18000,184000,-71900,-346000,-15000,1168000,1315000,557000,-101400,-460000,-309200,-4400,14826700,130000,8755500,-366000,154000,55900,981000,1323000,-1158000,-1336000,211000,37600
-2.57e+08,-5.8e+07,1.5e+07,-1.13e+08,7.2e+07,-6.5e+07,-3.5e+07,-2.1e+07,8.5e+07,-1.99e+08,4.9e+07,-1.34e+08,7.8e+07,4.9e+07,-3.4e+07,6.8e+07,1.36e+08,-9.8e+07,8.3e+07,-3.7e+07,3.7e+07,3.6e+07,3.3e+07,4e+07,2.08e+08,9e+06,8.6e+07,-8.2e+07,-5.2e+07,2.3e+07
-8580000,1590000,-7410000,-250000,1720000,2490000,-1430000,-3120000,-490000,4600000,380000,-1240000,-7040000,-60000,-1450000,2240000,-650000,-1100000,6380000,-1520000,-1570000,1500000,940000,-3080000,-3e+05,-320000,3650000,4500000,470000,510000
